periode_data;tanggal;stasiun;pm_10;pm_duakomalima;so2;co;o3;no2;max;critical;categori
202211;22/11/2022;DKI3;46;72;51;10;26;15;72;PM2,5;SEDANG
202211;23/11/2022;DKI3;50;71;52;11;29;23;71;PM2,5;SEDANG
202211;24/11/2022;DKI4;51;66;52;10;34;24;66;PM2,5;SEDANG
202211;25/11/2022;DKI4;52;77;52;15;38;26;77;PM2,5;SEDANG
202211;26/11/2022;DKI4;80;131;51;20;42;45;131;PM2,5;TIDAK SEHAT
202211;27/11/2022;DKI4;74;112;52;24;37;36;112;PM2,5;TIDAK SEHAT
202211;28/11/2022;DKI4;59;83;51;14;50;31;83;PM2,5;SEDANG
202211;29/11/2022;DKI4;53;73;51;22;48;32;73;PM2,5;SEDANG
202211;30/11/2022;DKI4;65;97;52;13;40;31;97;PM2,5;SEDANG
202212;01/12/2022;DKI4;64;93;52;17;50;31;93;PM2,5;SEDANG
202212;02/12/2022;DKI4;60;94;52;18;42;30;94;PM2,5;SEDANG
202212;03/12/2022;DKI4;60;100;52;16;49;31;100;PM2,5;SEDANG
202212;04/12/2022;DKI4;65;95;52;19;45;34;95;PM2,5;SEDANG
202212;05/12/2022;DKI4;74;117;52;19;48;33;117;PM2,5;TIDAK SEHAT
202212;06/12/2022;DKI4;70;107;49;24;41;44;107;PM2,5;TIDAK SEHAT
202212;07/12/2022;DKI4;53;88;52;21;37;40;88;PM2,5;SEDANG
202212;08/12/2022;DKI4;51;85;52;16;47;35;85;PM2,5;SEDANG
202212;09/12/2022;DKI3;59;94;51;21;31;41;94;PM2,5;SEDANG
202212;10/12/2022;DKI4;42;72;52;27;29;35;72;PM2,5;SEDANG
202212;11/12/2022;DKI4;44;72;52;20;31;32;72;PM2,5;SEDANG
202212;12/12/2022;DKI4;37;62;51;10;32;22;62;PM2,5;SEDANG
202212;13/12/2022;DKI3;47;71;51;13;28;23;71;PM2,5;SEDANG
202212;14/12/2022;DKI3;46;71;51;10;30;17;71;PM2,5;SEDANG
202212;15/12/2022;DKI4;28;60;52;10;29;23;60;PM2,5;SEDANG
202212;16/12/2022;DKI4;56;83;52;12;28;30;83;PM2,5;SEDANG
202212;17/12/2022;DKI4;65;98;52;30;38;45;98;PM2,5;SEDANG
202212;18/12/2022;DKI4;64;96;52;26;46;45;96;PM2,5;SEDANG
202212;19/12/2022;DKI4;64;99;57;28;39;48;99;PM2,5;SEDANG
202212;20/12/2022;DKI4;85;154;54;23;29;47;154;PM2,5;TIDAK SEHAT
202212;21/12/2022;DKI3;57;86;62;45;27;32;86;PM2,5;SEDANG
202212;22/12/2022;DKI4;49;65;59;49;23;24;65;PM2,5;SEDANG
202212;23/12/2022;DKI2;31;40;57;38;24;18;57;SO2;SEDANG
202212;24/12/2022;DKI3;58;92;57;55;26;24;92;PM2,5;SEDANG
202212;25/12/2022;DKI2;42;56;57;45;25;18;57;SO2;SEDANG
202212;26/12/2022;DKI2;43;62;58;54;25;27;62;PM2,5;SEDANG
202212;27/12/2022;DKI2;36;47;58;42;20;18;58;SO2;SEDANG
202212;28/12/2022;DKI3;46;66;57;41;15;19;66;PM2,5;SEDANG
202212;29/12/2022;DKI2;23;50;57;12;16;15;57;SO2;SEDANG
202212;30/12/2022;DKI4;40;64;57;21;17;24;64;PM2,5;SEDANG
202212;31/12/2022;DKI4;54;73;56;24;23;24;73;PM2,5;SEDANG
